rank	gene	y_prob_max	p95_flag	bestF1_flag	clinvar_plp_flag	tier	P95_thr	BestF1_thr
85	AHCY	0.999532	1	1	0	T1	0.150044	0.424311
86	CACNA1A	0.999532	1	1	0	T1	0.150044	0.424311
87	CBARP	0.999532	1	1	0	T1	0.150044	0.424311
88	CDC45	0.999532	1	1	0	T1	0.150044	0.424311
89	COPE	0.999532	1	1	0	T1	0.150044	0.424311
90	DEPDC5	0.999532	1	1	0	T1	0.150044	0.424311
91	DNAI2	0.999532	1	1	0	T1	0.150044	0.424311
92	DNMT1	0.999532	1	1	0	T1	0.150044	0.424311
93	DYRK1B	0.999532	1	1	0	T1	0.150044	0.424311
94	EFTUD2	0.999532	1	1	0	T1	0.150044	0.424311
95	ENSG00000285404	0.999532	1	1	0	T1	0.150044	0.424311
96	MTCL2	0.999532	1	1	0	T1	0.150044	0.424311
97	PLCG1	0.999532	1	1	0	T1	0.150044	0.424311
98	PMP22	0.999532	1	1	0	T1	0.150044	0.424311
99	RPS16	0.999532	1	1	0	T1	0.150044	0.424311
100	SMAD2	0.999532	1	1	0	T1	0.150044	0.424311
101	STRADA	0.999532	1	1	0	T1	0.150044	0.424311
102	TYK2	0.999532	1	1	0	T1	0.150044	0.424311
103	ASXL1	0.999531	1	1	0	T1	0.150044	0.424311
104	MFSD12	0.999531	1	1	0	T1	0.150044	0.424311
105	PAFAH1B1	0.999531	1	1	0	T1	0.150044	0.424311
106	RBM39	0.999531	1	1	0	T1	0.150044	0.424311
107	TTC28	0.999531	1	1	0	T1	0.150044	0.424311
108	ADGRL1	0.999530	1	1	0	T1	0.150044	0.424311
109	ARFGEF2	0.999530	1	1	0	T1	0.150044	0.424311
110	ATCAY	0.999530	1	1	1	T1	0.150044	0.424311
111	DOT1L	0.999530	1	1	1	T1	0.150044	0.424311
112	GYS1	0.999530	1	1	0	T1	0.150044	0.424311
113	KCNQ2	0.999530	1	1	0	T1	0.150044	0.424311
114	METTL4	0.999530	1	1	0	T1	0.150044	0.424311
115	MICAL3	0.999530	1	1	0	T1	0.150044	0.424311
116	NF1	0.999530	1	1	0	T1	0.150044	0.424311
117	RALBP1	0.999530	1	1	0	T1	0.150044	0.424311
118	RUNX1	0.999530	1	1	0	T1	0.150044	0.424311
119	SAMHD1	0.999530	1	1	0	T1	0.150044	0.424311
120	SLC7A9	0.999530	1	1	0	T1	0.150044	0.424311
121	SMARCA4	0.999530	1	1	0	T1	0.150044	0.424311
122	SMARCE1	0.999530	1	1	0	T1	0.150044	0.424311
123	TIMM50	0.999530	1	1	0	T1	0.150044	0.424311
124	WDR62	0.999530	1	1	0	T1	0.150044	0.424311
125	AURKA	0.999529	1	1	0	T1	0.150044	0.424311
126	GPCPD1	0.999529	1	1	0	T1	0.150044	0.424311
127	KIAA0930	0.999529	1	1	0	T1	0.150044	0.424311
128	SRC	0.999529	1	1	0	T1	0.150044	0.424311
129	DCC	0.999528	1	1	0	T1	0.150044	0.424311
130	DPY19L3	0.999528	1	1	0	T1	0.150044	0.424311
131	EP300	0.999528	1	1	0	T1	0.150044	0.424311
132	LOXHD1	0.999528	1	1	0	T1	0.150044	0.424311
133	NEDD4L	0.999528	1	1	0	T1	0.150044	0.424311
134	NF2	0.999528	1	1	0	T1	0.150044	0.424311
135	SBF1	0.999528	1	1	0	T1	0.150044	0.424311
136	BCAS3	0.999527	1	1	1	T1	0.150044	0.424311
137	CSE1L	0.999527	1	1	0	T1	0.150044	0.424311
138	EIF3L	0.999527	1	1	0	T1	0.150044	0.424311
139	ELAVL3	0.999527	1	1	0	T1	0.150044	0.424311
140	GAREM1	0.999527	1	1	0	T1	0.150044	0.424311
141	GCDH	0.999527	1	1	0	T1	0.150044	0.424311
142	GRIK1	0.999527	1	1	0	T1	0.150044	0.424311
143	LPIN3	0.999527	1	1	0	T1	0.150044	0.424311
144	MAST1	0.999527	1	1	0	T1	0.150044	0.424311
145	NFATC1	0.999527	1	1	0	T1	0.150044	0.424311
146	PES1	0.999527	1	1	0	T1	0.150044	0.424311
147	RALGAPB	0.999527	1	1	0	T1	0.150044	0.424311
148	TCF20	0.999527	1	1	0	T1	0.150044	0.424311
149	TNFSF14	0.999527	1	1	0	T1	0.150044	0.424311
150	TOP3B	0.999527	1	1	0	T1	0.150044	0.424311
151	C19orf12	0.999526	1	1	0	T1	0.150044	0.424311
152	EIF3K	0.999526	1	1	0	T1	0.150044	0.424311
153	KANSL1	0.999526	1	1	0	T1	0.150044	0.424311
154	NDRG3	0.999526	1	1	0	T1	0.150044	0.424311
155	NFS1	0.999526	1	1	0	T1	0.150044	0.424311
156	SOD1	0.999526	1	1	0	T1	0.150044	0.424311
157	SYNJ1	0.999526	1	1	0	T1	0.150044	0.424311
158	AXL	0.999525	1	1	0	T1	0.150044	0.424311
159	CANT1	0.999524	1	1	0	T1	0.150044	0.424311
160	CREB3L3	0.999524	1	1	1	T1	0.150044	0.424311
161	DPM1	0.999524	1	1	0	T1	0.150044	0.424311
162	NAGA	0.999524	1	1	0	T1	0.150044	0.424311
163	PLCB4	0.999524	1	1	0	T1	0.150044	0.424311
164	PRDM15	0.999524	1	1	0	T1	0.150044	0.424311
165	PTBP1	0.999524	1	1	0	T1	0.150044	0.424311
166	SNF8	0.999524	1	1	0	T1	0.150044	0.424311
167	STAU1	0.999524	1	1	0	T1	0.150044	0.424311
168	TAB1	0.999524	1	1	0	T1	0.150044	0.424311
169	AP1B1	0.999523	1	1	0	T1	0.150044	0.424311
170	CHAF1A	0.999523	1	1	0	T1	0.150044	0.424311
171	CILP2	0.999523	1	1	0	T1	0.150044	0.424311
172	CLTC	0.999523	1	1	0	T1	0.150044	0.424311
173	CSNK1E	0.999523	1	1	0	T1	0.150044	0.424311
174	CTNS	0.999523	1	1	0	T1	0.150044	0.424311
175	DHPS	0.999523	1	1	0	T1	0.150044	0.424311
176	EFCAB6	0.999523	1	1	0	T1	0.150044	0.424311
177	IFT52	0.999523	1	1	0	T1	0.150044	0.424311
178	NAPA	0.999523	1	1	0	T1	0.150044	0.424311
179	NCAM2	0.999523	1	1	0	T1	0.150044	0.424311
180	NFIX	0.999523	1	1	0	T1	0.150044	0.424311
181	PHF20	0.999523	1	1	0	T1	0.150044	0.424311
182	PRELID3A	0.999523	1	1	0	T1	0.150044	0.424311
183	PTPN1	0.999523	1	1	0	T1	0.150044	0.424311
184	RFX2	0.999523	1	1	0	T1	0.150044	0.424311
185	RMC1	0.999523	1	1	0	T1	0.150044	0.424311
186	RPRD1A	0.999523	1	1	0	T1	0.150044	0.424311
187	SAE1	0.999523	1	1	0	T1	0.150044	0.424311
188	SSH2	0.999523	1	1	0	T1	0.150044	0.424311
189	TPTEP2-CSNK1E	0.999523	1	1	0	T1	0.150044	0.424311
190	USP25	0.999523	1	1	0	T1	0.150044	0.424311
191	CDC37	0.999522	1	1	0	T1	0.150044	0.424311
192	DNM2	0.999522	1	1	0	T1	0.150044	0.424311
193	EPS15L1	0.999522	1	1	0	T1	0.150044	0.424311
194	GABPA	0.999522	1	1	0	T1	0.150044	0.424311
195	NUMBL	0.999522	1	1	0	T1	0.150044	0.424311
196	SEC23B	0.999522	1	1	0	T1	0.150044	0.424311
197	SIN3B	0.999522	1	1	0	T1	0.150044	0.424311
198	ATP8B3	0.999521	1	1	0	T1	0.150044	0.424311
199	DHX35	0.999521	1	1	0	T1	0.150044	0.424311
200	FOSB	0.999521	1	1	0	T1	0.150044	0.424311
201	HMG20B	0.999521	1	1	0	T1	0.150044	0.424311
202	ITCH	0.999521	1	1	0	T1	0.150044	0.424311
203	PIGU	0.999521	1	1	0	T1	0.150044	0.424311
204	PIK3C3	0.999521	1	1	0	T1	0.150044	0.424311
205	PRPF31	0.999521	1	1	0	T1	0.150044	0.424311
206	RNASEH2A	0.999521	1	1	0	T1	0.150044	0.424311
207	TAF4	0.999521	1	1	1	T1	0.150044	0.424311
208	VPS16	0.999521	1	1	0	T1	0.150044	0.424311
209	VPS26C	0.999521	1	1	0	T1	0.150044	0.424311
210	AKT2	0.999520	1	1	0	T1	0.150044	0.424311
211	ASXL3	0.999520	1	1	0	T1	0.150044	0.424311
212	CDH7	0.999520	1	1	0	T1	0.150044	0.424311
213	MYO9B	0.999520	1	1	0	T1	0.150044	0.424311
214	PATZ1	0.999520	1	1	0	T1	0.150044	0.424311
215	PRKCSH	0.999520	1	1	0	T1	0.150044	0.424311
216	SEZ6L	0.999520	1	1	0	T1	0.150044	0.424311
217	TXNL1	0.999520	1	1	0	T1	0.150044	0.424311
218	ARRDC2	0.999519	1	1	0	T1	0.150044	0.424311
219	ARSA	0.999519	1	1	0	T1	0.150044	0.424311
220	AXIN2	0.999519	1	1	0	T1	0.150044	0.424311
221	CBLC	0.999519	1	1	0	T1	0.150044	0.424311
222	CNOT3	0.999519	1	1	0	T1	0.150044	0.424311
223	DTNA	0.999519	1	1	0	T1	0.150044	0.424311
224	EIF6	0.999519	1	1	0	T1	0.150044	0.424311
225	ELL	0.999519	1	1	0	T1	0.150044	0.424311
226	G6PC1	0.999519	1	1	0	T1	0.150044	0.424311
227	KCNB1	0.999519	1	1	0	T1	0.150044	0.424311
228	KMT2B	0.999519	1	1	0	T1	0.150044	0.424311
229	LSS	0.999519	1	1	0	T1	0.150044	0.424311
230	MCOLN1	0.999519	1	1	0	T1	0.150044	0.424311
231	MGME1	0.999519	1	1	0	T1	0.150044	0.424311
232	NCLN	0.999519	1	1	0	T1	0.150044	0.424311
233	PDE4A	0.999519	1	1	1	T1	0.150044	0.424311
234	RFXANK	0.999519	1	1	0	T1	0.150044	0.424311
235	SMARCB1	0.999519	1	1	0	T1	0.150044	0.424311
236	SOX10	0.999519	1	1	0	T1	0.150044	0.424311
237	SPIRE1	0.999519	1	1	0	T1	0.150044	0.424311
238	TRAPPC8	0.999519	1	1	0	T1	0.150044	0.424311
239	XYLT2	0.999519	1	1	0	T1	0.150044	0.424311
240	YIPF2	0.999519	1	1	0	T1	0.150044	0.424311
241	ADNP	0.999518	1	1	0	T1	0.150044	0.424311
242	ATP5F1A	0.999518	1	1	0	T1	0.150044	0.424311
243	CEP250	0.999518	1	1	0	T1	0.150044	0.424311
244	DIP2A	0.999518	1	1	0	T1	0.150044	0.424311
245	ELAVL1	0.999518	1	1	0	T1	0.150044	0.424311
246	ERF	0.999518	1	1	0	T1	0.150044	0.424311
247	NETO1	0.999518	1	1	0	T1	0.150044	0.424311
248	POLRMT	0.999518	1	1	1	T1	0.150044	0.424311
249	RGS19	0.999518	1	1	0	T1	0.150044	0.424311
250	SF3A1	0.999518	1	1	0	T1	0.150044	0.424311
251	SMARCD2	0.999518	1	1	0	T1	0.150044	0.424311
252	XRCC6	0.999518	1	1	0	T1	0.150044	0.424311
253	BRIP1	0.999517	1	1	0	T1	0.150044	0.424311
254	CARM1	0.999517	1	1	0	T1	0.150044	0.424311
255	CFD	0.999517	1	1	1	T1	0.150044	0.424311
256	NEK8	0.999517	1	1	0	T1	0.150044	0.424311
257	NOVA2	0.999517	1	1	0	T1	0.150044	0.424311
258	PANX2	0.999517	1	1	0	T1	0.150044	0.424311
259	PCNA	0.999517	1	1	0	T1	0.150044	0.424311
260	RAB3A	0.999517	1	1	0	T1	0.150044	0.424311
261	SALL3	0.999517	1	1	0	T1	0.150044	0.424311
262	THOC5	0.999517	1	1	0	T1	0.150044	0.424311
263	XRCC1	0.999517	1	1	0	T1	0.150044	0.424311
264	BACE2	0.999516	1	1	0	T1	0.150044	0.424311
265	BMP7	0.999516	1	1	0	T1	0.150044	0.424311
266	C2CD2	0.999516	1	1	0	T1	0.150044	0.424311
267	CYP4F22	0.999516	1	1	0	T1	0.150044	0.424311
268	ENSG00000286235	0.999516	1	1	0	T1	0.150044	0.424311
269	GSS	0.999516	1	1	0	T1	0.150044	0.424311
270	KREMEN1	0.999516	1	1	0	T1	0.150044	0.424311
271	MCM8	0.999516	1	1	0	T1	0.150044	0.424311
272	MED11	0.999516	1	1	0	T1	0.150044	0.424311
273	MED25	0.999516	1	1	0	T1	0.150044	0.424311
274	NFATC2	0.999516	1	1	0	T1	0.150044	0.424311
275	SS18L1	0.999516	1	1	0	T1	0.150044	0.424311
276	TNRC6B	0.999516	1	1	0	T1	0.150044	0.424311
277	UNC13A	0.999516	1	1	0	T1	0.150044	0.424311
278	ABHD12	0.999515	1	1	0	T1	0.150044	0.424311
279	ADAMTS10	0.999515	1	1	0	T1	0.150044	0.424311
280	AP2S1	0.999515	1	1	0	T1	0.150044	0.424311
281	ARK2C	0.999515	1	1	0	T1	0.150044	0.424311
282	CBS	0.999515	1	1	0	T1	0.150044	0.424311
283	COMP	0.999515	1	1	0	T1	0.150044	0.424311
284	CSNK2A1	0.999515	1	1	0	T1	0.150044	0.424311
285	DLGAP4	0.999515	1	1	0	T1	0.150044	0.424311
286	DSCAM	0.999515	1	1	0	T1	0.150044	0.424311
287	ENSG00000248751	0.999515	1	1	0	T1	0.150044	0.424311
288	ESCO1	0.999515	1	1	0	T1	0.150044	0.424311
289	EVI5L	0.999515	1	1	0	T1	0.150044	0.424311
290	GGA3	0.999515	1	1	0	T1	0.150044	0.424311
291	HNRNPL	0.999515	1	1	0	T1	0.150044	0.424311
292	MYH10	0.999515	1	1	0	T1	0.150044	0.424311
293	MYO1C	0.999515	1	1	0	T1	0.150044	0.424311
294	PAX1	0.999515	1	1	0	T1	0.150044	0.424311
295	SON	0.999515	1	1	0	T1	0.150044	0.424311
296	TBC1D10A	0.999515	1	1	0	T1	0.150044	0.424311
297	TIAM1	0.999515	1	1	0	T1	0.150044	0.424311
298	ACO2	0.999514	1	1	0	T1	0.150044	0.424311
299	ACSS2	0.999514	1	1	0	T1	0.150044	0.424311
300	BCAT2	0.999514	1	1	0	T1	0.150044	0.424311
301	CELF4	0.999514	1	1	0	T1	0.150044	0.424311
302	CNN1	0.999514	1	1	0	T1	0.150044	0.424311
303	ERG	0.999514	1	1	0	T1	0.150044	0.424311
304	HSF2BP	0.999514	1	1	0	T1	0.150044	0.424311
305	KDM4B	0.999514	1	1	1	T1	0.150044	0.424311
306	L3MBTL1	0.999514	1	1	0	T1	0.150044	0.424311
307	LDLR	0.999514	1	1	0	T1	0.150044	0.424311
308	LIG1	0.999514	1	1	0	T1	0.150044	0.424311
309	MYH2	0.999514	1	1	0	T1	0.150044	0.424311
310	NACC1	0.999514	1	1	1	T1	0.150044	0.424311
311	NOL4L	0.999514	1	1	0	T1	0.150044	0.424311
312	PFDN4	0.999514	1	1	0	T1	0.150044	0.424311
313	PLXNB2	0.999514	1	1	0	T1	0.150044	0.424311
314	PPP1R16B	0.999514	1	1	0	T1	0.150044	0.424311
315	RASGRP4	0.999514	1	1	0	T1	0.150044	0.424311
316	SAMD4B	0.999514	1	1	0	T1	0.150044	0.424311
317	SCAF4	0.999514	1	1	0	T1	0.150044	0.424311
318	SGSM1	0.999514	1	1	0	T1	0.150044	0.424311
319	TANGO2	0.999514	1	1	0	T1	0.150044	0.424311
320	TMEM161A	0.999514	1	1	0	T1	0.150044	0.424311
321	UBA52	0.999514	1	1	0	T1	0.150044	0.424311
322	ZDHHC8	0.999514	1	1	0	T1	0.150044	0.424311
323	ADARB1	0.999513	1	1	0	T1	0.150044	0.424311
324	ARHGAP45	0.999513	1	1	0	T1	0.150044	0.424311
325	BACH1	0.999513	1	1	0	T1	0.150044	0.424311
326	C1QBP	0.999513	1	1	0	T1	0.150044	0.424311
327	DGCR2	0.999513	1	1	0	T1	0.150044	0.424311
328	DIDO1	0.999513	1	1	0	T1	0.150044	0.424311
329	DLG4	0.999513	1	1	0	T1	0.150044	0.424311
330	EPG5	0.999513	1	1	0	T1	0.150044	0.424311
331	FLOT2	0.999513	1	1	0	T1	0.150044	0.424311
332	HLCS	0.999513	1	1	0	T1	0.150044	0.424311
333	KCNS1	0.999513	1	1	0	T1	0.150044	0.424311
334	LTN1	0.999513	1	1	0	T1	0.150044	0.424311
335	MORC2	0.999513	1	1	0	T1	0.150044	0.424311
336	MYH9	0.999513	1	1	0	T1	0.150044	0.424311
337	MYO18A	0.999513	1	1	0	T1	0.150044	0.424311
338	NSFL1C	0.999513	1	1	0	T1	0.150044	0.424311
339	PER1	0.999513	1	1	0	T1	0.150044	0.424311
340	POLR3F	0.999513	1	1	0	T1	0.150044	0.424311
341	PRELID3B	0.999513	1	1	0	T1	0.150044	0.424311
342	RELB	0.999513	1	1	0	T1	0.150044	0.424311
343	SREBF2	0.999513	1	1	0	T1	0.150044	0.424311
344	SS18	0.999513	1	1	0	T1	0.150044	0.424311
345	ST8SIA5	0.999513	1	1	0	T1	0.150044	0.424311
346	SULF2	0.999513	1	1	0	T1	0.150044	0.424311
347	TNPO2	0.999513	1	1	0	T1	0.150044	0.424311
348	TRMU	0.999513	1	1	0	T1	0.150044	0.424311
349	VRK3	0.999513	1	1	0	T1	0.150044	0.424311
350	AAR2	0.999512	1	1	0	T1	0.150044	0.424311
351	AP3D1	0.999512	1	1	0	T1	0.150044	0.424311
352	ASCC2	0.999512	1	1	0	T1	0.150044	0.424311
353	BRWD1	0.999512	1	1	0	T1	0.150044	0.424311
354	CELSR1	0.999512	1	1	0	T1	0.150044	0.424311
355	CTNNBL1	0.999512	1	1	0	T1	0.150044	0.424311
356	EIF3D	0.999512	1	1	0	T1	0.150044	0.424311
357	EML2	0.999512	1	1	0	T1	0.150044	0.424311
358	GRIK5	0.999512	1	1	0	T1	0.150044	0.424311
359	GTPBP3	0.999512	1	1	0	T1	0.150044	0.424311
360	HPS4	0.999512	1	1	0	T1	0.150044	0.424311
361	MICALL1	0.999512	1	1	0	T1	0.150044	0.424311
362	NDUFV2	0.999512	1	1	0	T1	0.150044	0.424311
363	NELFCD	0.999512	1	1	0	T1	0.150044	0.424311
364	PANK2	0.999512	1	1	0	T1	0.150044	0.424311
365	PI4KA	0.999512	1	1	0	T1	0.150044	0.424311
366	POLDIP3	0.999512	1	1	0	T1	0.150044	0.424311
367	PRKD2	0.999512	1	1	0	T1	0.150044	0.424311
368	SGSM3	0.999512	1	1	0	T1	0.150044	0.424311
369	SLC5A1	0.999512	1	1	0	T1	0.150044	0.424311
370	SMOX	0.999512	1	1	0	T1	0.150044	0.424311
371	TEKT3	0.999512	1	1	0	T1	0.150044	0.424311
372	THOP1	0.999512	1	1	0	T1	0.150044	0.424311
373	UBE2C	0.999512	1	1	0	T1	0.150044	0.424311
374	CSTF1	0.999511	1	1	0	T1	0.150044	0.424311
375	ECSIT	0.999511	1	1	0	T1	0.150044	0.424311
376	LIG3	0.999511	1	1	0	T1	0.150044	0.424311
377	NWD1	0.999511	1	1	0	T1	0.150044	0.424311
378	POU2F2	0.999511	1	1	0	T1	0.150044	0.424311
379	PPARA	0.999511	1	1	0	T1	0.150044	0.424311
380	RALGAPA2	0.999511	1	1	0	T1	0.150044	0.424311
381	SLC23A2	0.999511	1	1	0	T1	0.150044	0.424311
382	SLC9A8	0.999511	1	1	0	T1	0.150044	0.424311
383	SUN2	0.999511	1	1	0	T1	0.150044	0.424311
384	TMEM184B	0.999511	1	1	0	T1	0.150044	0.424311
385	TRPC4AP	0.999511	1	1	0	T1	0.150044	0.424311
386	TSHZ1	0.999511	1	1	0	T1	0.150044	0.424311
387	ALOX15B	0.999510	1	1	0	T1	0.150044	0.424311
388	CBFA2T2	0.999510	1	1	0	T1	0.150044	0.424311
389	CLUH	0.999510	1	1	0	T1	0.150044	0.424311
390	FERMT1	0.999510	1	1	0	T1	0.150044	0.424311
391	FTCD	0.999510	1	1	0	T1	0.150044	0.424311
392	GGA1	0.999510	1	1	0	T1	0.150044	0.424311
393	ITSN1	0.999510	1	1	0	T1	0.150044	0.424311
394	LZTS3	0.999510	1	1	0	T1	0.150044	0.424311
395	PIGT	0.999510	1	1	0	T1	0.150044	0.424311
396	POFUT1	0.999510	1	1	0	T1	0.150044	0.424311
397	SDK2	0.999510	1	1	0	T1	0.150044	0.424311
398	SLC17A9	0.999510	1	1	0	T1	0.150044	0.424311
399	TIMM44	0.999510	1	1	0	T1	0.150044	0.424311
400	TOM1	0.999510	1	1	0	T1	0.150044	0.424311
401	TOP3A	0.999510	1	1	0	T1	0.150044	0.424311
402	TPST2	0.999510	1	1	0	T1	0.150044	0.424311
403	USE1	0.999510	1	1	0	T1	0.150044	0.424311
404	CCNE1	0.999509	1	1	0	T1	0.150044	0.424311
405	CTDP1	0.999509	1	1	0	T1	0.150044	0.424311
406	DONSON	0.999509	1	1	0	T1	0.150044	0.424311
407	ENTPD6	0.999509	1	1	0	T1	0.150044	0.424311
408	FAM83F	0.999509	1	1	0	T1	0.150044	0.424311
409	GMEB2	0.999509	1	1	0	T1	0.150044	0.424311
410	GTPBP1	0.999509	1	1	0	T1	0.150044	0.424311
411	KLHL14	0.999509	1	1	0	T1	0.150044	0.424311
412	MAN2B1	0.999509	1	1	0	T1	0.150044	0.424311
413	OSBPL1A	0.999509	1	1	0	T1	0.150044	0.424311
414	PAK5	0.999509	1	1	0	T1	0.150044	0.424311
415	PGAP3	0.999509	1	1	0	T1	0.150044	0.424311
416	PNPLA6	0.999509	1	1	0	T1	0.150044	0.424311
417	PPP1R37	0.999509	1	1	0	T1	0.150044	0.424311
418	PPP4R1	0.999509	1	1	0	T1	0.150044	0.424311
419	RAB8A	0.999509	1	1	0	T1	0.150044	0.424311
420	RPN2	0.999509	1	1	0	T1	0.150044	0.424311
421	RTEL1	0.999509	1	1	0	T1	0.150044	0.424311
422	SHMT1	0.999509	1	1	0	T1	0.150044	0.424311
423	UFD1	0.999509	1	1	0	T1	0.150044	0.424311
424	ULK2	0.999509	1	1	0	T1	0.150044	0.424311
425	ADAMTS1	0.999508	1	1	0	T1	0.150044	0.424311
426	ARVCF	0.999508	1	1	0	T1	0.150044	0.424311
427	CDH20	0.999508	1	1	0	T1	0.150044	0.424311
428	CFAP298	0.999508	1	1	0	T1	0.150044	0.424311
429	CFAP298-TCP10L	0.999508	1	1	0	T1	0.150044	0.424311
430	CTIF	0.999508	1	1	0	T1	0.150044	0.424311
431	CYB5R3	0.999508	1	1	0	T1	0.150044	0.424311
432	DPH1	0.999508	1	1	0	T1	0.150044	0.424311
433	DYM	0.999508	1	1	0	T1	0.150044	0.424311
434	EPN1	0.999508	1	1	0	T1	0.150044	0.424311
